Employee_ID,Job_Satisfaction,Work_Life_Balance,Management_Support,Career_Development,Engagement_Level,Feedback_Comments
E10059,5.0,2.8,4.3,3.6,4.0,"Very happy with my role, learning a lot every day."
E10060,3.6,2.2,3.6,3.3,3.2,Salary is decent but bonuses could be better.
E10061,4.3,3.7,3.2,2.9,3.7,Management communication can improve significantly.
E10062,3.8,2.9,3.2,3.8,3.6,Workload is sometimes heavy but manageable.
E10063,4.8,2.8,3.9,4.1,4.1,Compensation is competitive and I feel valued.
E10064,4.1,1.8,4.2,3.1,3.6,Could use more clarity on promotion criteria.
E10065,4.1,2.3,3.6,3.7,3.5,Reasonable work-life balance most of the time.
E10066,3.3,3.6,2.6,3.4,3.1,"Job is fine, but looking to grow further."
E10067,5.0,2.8,4.8,3.4,4.1,Excellent team culture and flexible hours.
E10068,4.3,3.2,3.8,4.8,4.3,Strong leadership and clear direction from management.
E10069,4.6,3.0,3.4,3.9,3.9,Great work environment with strong mentorship.
E10070,2.7,2.6,2.6,3.1,2.9,Workload is sometimes heavy but manageable.
E10071,4.6,2.7,3.8,4.4,3.9,Great work environment with strong mentorship.
E10072,4.6,3.4,3.6,4.3,3.8,Strong leadership and clear direction from management.
E10073,5.0,2.2,4.3,4.8,4.2,Feel recognised for my contributions regularly.
E10074,5.0,3.1,3.9,4.2,4.2,"Very happy with my role, learning a lot every day."
E10075,4.7,3.4,3.8,3.9,4.1,Management is supportive and career growth is clear.
E10076,4.5,2.8,3.1,2.6,3.3,Workload is sometimes heavy but manageable.
E10077,3.7,3.0,3.3,4.7,3.9,Strong leadership and clear direction from management.
E10078,5.0,3.4,4.3,4.5,4.1,Excellent team culture and flexible hours.
E10079,4.6,1.9,3.7,3.7,3.5,Could use more clarity on promotion criteria.
E10080,4.7,2.4,4.2,3.6,3.8,Feel recognised for my contributions regularly.
E10081,5.0,3.2,3.6,3.7,3.8,Work-life balance is great and the team is collaborative.
E10082,3.9,2.5,3.6,2.9,3.5,Management communication can improve significantly.
E10083,4.4,2.9,2.3,3.1,3.3,"Job is fine, but looking to grow further."
E10084,5.0,1.8,4.4,3.4,3.6,Management communication can improve significantly.
E10085,3.7,2.3,3.5,2.4,2.7,"Burnout is real, work-life balance is poor."
E10086,4.4,2.5,3.6,3.1,3.5,"Job is fine, but looking to grow further."
E10087,2.3,3.7,2.9,4.1,3.2,Reasonable work-life balance most of the time.
E10088,4.9,3.3,3.5,3.8,3.9,Feel recognised for my contributions regularly.
E10089,3.9,3.2,3.4,4.4,3.8,Strong leadership and clear direction from management.
E10090,4.1,2.4,4.0,3.1,3.5,Workload is sometimes heavy but manageable.
E10091,4.5,2.6,4.2,3.0,3.8,Compensation is competitive and I feel valued.
E10092,4.2,3.2,3.4,3.5,3.6,Could use more clarity on promotion criteria.
E10093,4.7,3.2,2.9,4.3,3.7,Salary is decent but bonuses could be better.
E10094,3.0,3.2,2.9,3.7,3.2,Work is okay but growth opportunities are limited.
E10095,4.6,3.0,2.6,3.8,3.9,Management is supportive and career growth is clear.
E10096,5.0,3.3,4.4,3.2,3.9,Compensation is competitive and I feel valued.
E10097,3.2,3.4,3.5,3.7,3.6,Management communication can improve significantly.
E10098,3.8,2.9,3.5,3.7,3.6,Reasonable work-life balance most of the time.
E10099,4.9,2.7,4.3,4.2,4.0,Management is supportive and career growth is clear.
E10100,4.9,3.0,3.7,4.8,4.4,Feel recognised for my contributions regularly.
E10101,4.5,2.6,4.3,3.7,3.8,Feel recognised for my contributions regularly.
E10102,3.3,2.6,3.0,3.3,3.0,Could use more clarity on promotion criteria.
E10103,2.7,2.7,3.3,3.4,3.2,"Job is fine, but looking to grow further."
E10104,4.6,2.5,3.8,2.8,3.4,Work is okay but growth opportunities are limited.
E10105,4.5,2.7,2.9,2.7,3.5,Salary is decent but bonuses could be better.
E10106,3.7,3.0,3.3,3.7,3.5,"Job is fine, but looking to grow further."
E10107,3.8,3.8,3.4,3.5,3.7,Some processes feel outdated but the team is good.
E10108,4.6,2.6,3.9,2.9,3.6,Salary is decent but bonuses could be better.
E10109,4.9,2.7,3.8,3.5,3.9,"Very happy with my role, learning a lot every day."
E10110,4.9,2.3,4.1,3.2,3.7,Reasonable work-life balance most of the time.
E10111,3.3,3.5,3.0,3.2,3.5,Management communication can improve significantly.
E10112,5.0,2.0,4.0,3.7,3.6,Could use more clarity on promotion criteria.
E10113,3.5,2.8,2.7,4.2,3.1,Work is okay but growth opportunities are limited.
E10114,4.2,2.5,3.3,3.4,3.5,"Job is fine, but looking to grow further."
E10115,5.0,3.4,3.7,4.1,4.2,Compensation is competitive and I feel valued.
E10116,5.0,3.0,4.2,3.8,4.1,Management is supportive and career growth is clear.
E10117,5.0,2.3,4.0,5.0,3.9,"Very happy with my role, learning a lot every day."
E10118,5.0,2.4,4.0,5.0,4.2,Excellent team culture and flexible hours.
E10119,2.3,3.1,2.5,3.0,2.5,Management does not listen to employee feedback.
E10120,4.5,3.6,3.5,3.5,3.9,Strong leadership and clear direction from management.
E10121,3.9,2.7,3.1,2.9,3.5,Management communication can improve significantly.
E10122,4.0,2.7,2.9,3.2,3.4,Work is okay but growth opportunities are limited.
E10123,4.0,2.2,2.4,3.7,3.1,Some processes feel outdated but the team is good.
E10124,5.0,2.7,3.8,4.0,4.0,Work-life balance is great and the team is collaborative.
E10125,4.2,2.0,3.2,3.7,3.4,Work is okay but growth opportunities are limited.
E10126,4.5,3.1,4.0,3.1,3.6,Salary is decent but bonuses could be better.
E10127,5.0,3.1,3.8,4.2,3.8,Strong leadership and clear direction from management.
E10128,5.0,3.0,4.4,4.1,4.1,"Very happy with my role, learning a lot every day."
E10129,5.0,2.1,4.4,4.4,4.1,Excellent team culture and flexible hours.
E10130,3.3,3.2,3.2,3.5,3.5,Work is okay but growth opportunities are limited.
E10131,4.0,3.3,3.3,2.9,3.3,Workload is sometimes heavy but manageable.
E10132,4.7,2.3,3.0,2.9,3.5,Salary is decent but bonuses could be better.
E10133,5.0,2.9,4.8,4.9,4.8,Management is supportive and career growth is clear.
E10134,4.8,2.9,3.9,3.6,3.9,Work-life balance is great and the team is collaborative.
E10135,2.2,3.0,2.2,3.0,2.4,No clear career path — very frustrated.
E10136,4.2,2.5,3.1,3.0,3.5,Management communication can improve significantly.
E10137,4.6,3.7,3.3,3.7,4.0,Compensation is competitive and I feel valued.
E10138,4.5,2.4,3.8,3.4,3.9,Work-life balance is great and the team is collaborative.
E10139,3.0,2.5,3.0,2.8,2.9,Management communication can improve significantly.
E10140,4.5,3.1,3.9,2.9,3.4,"Job is fine, but looking to grow further."
E10141,4.4,2.1,3.4,3.2,3.4,Reasonable work-life balance most of the time.
E10142,3.5,2.1,2.9,2.2,2.6,"Burnout is real, work-life balance is poor."
E10143,4.6,3.1,4.4,3.7,4.0,Excellent team culture and flexible hours.
E10144,4.2,2.5,3.6,3.5,3.5,"Job is fine, but looking to grow further."
E10145,3.9,2.0,3.5,3.7,3.4,Reasonable work-life balance most of the time.
E10146,2.1,2.9,2.9,4.0,2.8,Some processes feel outdated but the team is good.
E10147,4.7,3.4,3.7,3.9,4.0,Work-life balance is great and the team is collaborative.
E10148,4.8,2.9,4.4,2.9,3.5,Could use more clarity on promotion criteria.
E10149,5.0,2.3,3.9,4.6,3.9,Management is supportive and career growth is clear.
E10150,2.7,3.1,3.6,3.3,3.3,Workload is sometimes heavy but manageable.
E10151,2.6,3.3,2.4,3.1,2.9,Workload is sometimes heavy but manageable.
E10152,4.4,2.1,3.4,3.2,3.3,Salary is decent but bonuses could be better.
E10153,5.0,2.8,4.4,4.0,4.1,Strong leadership and clear direction from management.
E10154,4.5,3.1,4.7,3.2,3.6,Work is okay but growth opportunities are limited.
E10155,3.7,2.3,3.3,3.2,3.1,Workload is sometimes heavy but manageable.
E10156,4.1,2.2,3.3,2.9,3.3,Workload is sometimes heavy but manageable.
E10157,3.4,3.2,2.5,3.0,3.0,Work is okay but growth opportunities are limited.
E10158,3.9,3.8,3.4,3.0,3.4,Salary is decent but bonuses could be better.
E10159,4.5,2.5,3.5,3.7,3.7,Work is okay but growth opportunities are limited.
E10160,4.7,3.6,3.9,2.8,3.8,Excellent team culture and flexible hours.
E10161,3.3,1.9,2.8,3.7,3.0,Salary is decent but bonuses could be better.
E10162,4.9,3.2,4.0,3.6,4.0,Great work environment with strong mentorship.
E10163,2.6,2.7,3.1,3.3,3.1,Some processes feel outdated but the team is good.
E10164,5.0,3.1,3.6,3.2,3.8,Management is supportive and career growth is clear.
E10165,3.5,2.6,3.1,4.3,3.2,Workload is sometimes heavy but manageable.
E10166,4.8,2.8,3.9,5.0,4.2,"Very happy with my role, learning a lot every day."
E10167,3.1,2.5,3.8,3.9,3.3,Could use more clarity on promotion criteria.
E10168,4.6,3.1,3.6,2.8,3.5,Workload is sometimes heavy but manageable.
E10169,4.6,3.1,3.7,4.5,3.9,Compensation is competitive and I feel valued.
E10170,4.6,3.3,3.9,3.8,4.0,Work-life balance is great and the team is collaborative.
E10171,4.5,2.6,3.8,3.0,3.5,Workload is sometimes heavy but manageable.
E10172,5.0,3.2,3.6,4.6,4.2,Work-life balance is great and the team is collaborative.
E10173,4.2,3.2,4.3,3.3,3.9,Feel recognised for my contributions regularly.
E10174,2.3,3.1,2.2,3.2,2.7,"Burnout is real, work-life balance is poor."
E10175,4.9,3.2,3.1,4.1,3.7,Salary is decent but bonuses could be better.
E10176,4.4,3.0,3.8,5.0,4.2,Management is supportive and career growth is clear.
E10177,3.7,3.1,2.7,3.2,3.3,Reasonable work-life balance most of the time.
E10178,4.4,3.5,3.0,3.6,3.7,Some processes feel outdated but the team is good.
E10179,3.6,2.2,3.0,2.7,2.9,Reasonable work-life balance most of the time.
E10180,5.0,2.5,3.9,4.0,4.1,Feel recognised for my contributions regularly.
E10181,3.8,2.2,3.6,3.2,3.4,Could use more clarity on promotion criteria.
E10182,4.3,2.6,3.1,4.6,3.6,Work is okay but growth opportunities are limited.
E10183,3.8,3.5,3.1,3.1,3.5,Salary is decent but bonuses could be better.
E10184,4.9,3.0,4.5,4.0,4.0,Great work environment with strong mentorship.
E10185,3.7,2.6,3.6,3.6,3.4,Reasonable work-life balance most of the time.
E10186,4.1,2.9,3.3,3.2,3.5,Some processes feel outdated but the team is good.
E10187,4.5,2.5,3.8,4.4,4.1,Management is supportive and career growth is clear.
E10188,4.3,3.5,3.5,4.5,4.2,Excellent team culture and flexible hours.
E10189,4.4,3.5,3.3,3.8,3.8,Excellent team culture and flexible hours.
E10190,5.0,3.2,3.1,4.0,3.8,Excellent team culture and flexible hours.
E10191,5.0,3.0,4.5,5.0,4.6,Work-life balance is great and the team is collaborative.
E10192,3.5,2.5,2.4,3.4,2.9,Management communication can improve significantly.
E10193,4.7,2.6,3.4,3.5,3.7,Reasonable work-life balance most of the time.
E10194,4.5,3.1,3.4,4.8,3.9,Compensation is competitive and I feel valued.
E10195,4.2,2.7,4.0,3.6,3.6,"Job is fine, but looking to grow further."
E10196,2.8,2.7,2.9,2.7,2.7,Leadership is disconnected from ground-level teams.
E10197,4.6,3.1,3.8,3.7,3.6,Workload is sometimes heavy but manageable.
E10198,4.4,2.2,3.1,2.7,2.9,Salary is decent but bonuses could be better.
E10199,5.0,2.9,3.8,4.4,4.1,Work-life balance is great and the team is collaborative.
E10200,5.0,2.5,4.1,4.4,4.3,Management is supportive and career growth is clear.
E10201,3.9,2.8,3.0,2.7,3.2,Work is okay but growth opportunities are limited.
E10202,5.0,1.7,4.1,4.0,3.9,Great work environment with strong mentorship.
E10203,5.0,2.6,4.3,4.3,4.3,Management is supportive and career growth is clear.
E10204,3.5,2.6,3.4,3.2,3.3,Workload is sometimes heavy but manageable.
E10205,4.4,3.3,3.9,4.3,4.0,Compensation is competitive and I feel valued.
E10206,4.4,3.4,3.4,5.0,4.2,Feel recognised for my contributions regularly.
E10207,5.0,2.0,3.7,5.0,3.8,Work-life balance is great and the team is collaborative.
E10208,4.6,2.6,3.6,3.9,4.0,Work-life balance is great and the team is collaborative.
E10209,5.0,2.9,4.0,3.6,3.9,Excellent team culture and flexible hours.
E10210,5.0,3.0,3.8,5.0,4.3,Feel recognised for my contributions regularly.
E10211,4.4,3.5,4.1,4.0,4.1,Great work environment with strong mentorship.
E10212,3.5,2.9,3.8,3.1,3.5,Management communication can improve significantly.
E10213,4.8,2.8,4.5,4.7,4.4,Feel recognised for my contributions regularly.
E10214,3.4,2.6,2.9,3.8,3.3,Work is okay but growth opportunities are limited.
E10215,4.0,2.7,3.9,2.5,3.5,Reasonable work-life balance most of the time.
E10216,3.5,1.9,4.2,2.7,2.7,Actively considering other opportunities outside.
E10217,4.6,2.5,3.7,3.7,3.8,Work-life balance is great and the team is collaborative.
E10218,4.6,2.5,3.8,4.7,4.2,"Very happy with my role, learning a lot every day."
E10219,4.8,2.6,3.4,3.2,3.5,Reasonable work-life balance most of the time.
E10220,4.8,2.9,3.4,3.7,3.7,Could use more clarity on promotion criteria.
E10221,3.8,2.8,3.0,3.9,3.4,Management communication can improve significantly.
E10222,5.0,3.4,3.8,4.1,4.2,Excellent team culture and flexible hours.
E10223,4.8,2.3,4.0,3.6,3.9,"Very happy with my role, learning a lot every day."
E10224,3.3,2.8,3.0,4.1,3.4,Workload is sometimes heavy but manageable.
E10225,4.2,1.5,3.7,2.6,3.2,Work is okay but growth opportunities are limited.
E10226,4.9,1.9,4.1,2.7,3.6,Work is okay but growth opportunities are limited.
E10227,4.3,2.6,3.4,2.8,3.3,Some processes feel outdated but the team is good.
E10228,3.2,3.6,2.8,4.0,3.5,Work is okay but growth opportunities are limited.
E10229,2.9,2.5,2.5,1.8,2.5,Feeling undervalued and underpaid compared to market.
E10230,4.2,3.0,3.3,3.1,3.4,Could use more clarity on promotion criteria.
E10231,4.0,1.7,4.3,3.2,3.3,Management communication can improve significantly.
E10232,4.0,3.4,4.5,3.8,3.9,Great work environment with strong mentorship.
E10233,4.9,3.1,3.9,3.2,3.7,Salary is decent but bonuses could be better.
E10234,4.2,4.0,3.9,3.5,3.9,Compensation is competitive and I feel valued.
E10235,4.6,2.5,3.9,4.3,4.1,Management is supportive and career growth is clear.
E10236,3.4,3.5,3.2,4.0,3.4,Salary is decent but bonuses could be better.
E10237,4.6,1.9,3.3,3.9,3.4,Workload is sometimes heavy but manageable.
E10238,5.0,2.0,4.2,4.0,3.8,Feel recognised for my contributions regularly.
E10239,3.9,2.3,4.4,3.0,3.5,Salary is decent but bonuses could be better.
E10240,4.8,1.8,4.4,3.7,3.8,Excellent team culture and flexible hours.
E10241,2.6,2.8,2.9,2.8,2.6,Feeling undervalued and underpaid compared to market.
E10242,3.8,2.3,2.5,3.7,3.4,Salary is decent but bonuses could be better.
E10243,2.5,3.1,2.2,3.0,2.6,Very little recognition for the amount of work done.
E10244,3.5,2.9,4.4,2.5,3.2,Some processes feel outdated but the team is good.
E10245,5.0,2.9,3.9,3.8,3.9,"Very happy with my role, learning a lot every day."
E10246,3.6,2.5,2.4,2.3,2.8,Workload is sometimes heavy but manageable.
E10247,4.6,3.0,3.6,3.2,3.7,Some processes feel outdated but the team is good.
E10248,4.7,3.1,3.6,3.5,4.1,Excellent team culture and flexible hours.
E10249,4.6,3.3,2.4,3.4,3.5,"Job is fine, but looking to grow further."
E10250,4.7,3.1,4.4,3.7,4.0,Feel recognised for my contributions regularly.
E10251,4.5,3.0,3.2,1.8,3.3,Management communication can improve significantly.
E10252,3.6,2.1,3.4,3.9,3.2,"Job is fine, but looking to grow further."
E10253,5.0,2.9,3.4,4.4,4.2,Work-life balance is great and the team is collaborative.
E10254,5.0,1.9,4.1,4.1,3.9,Strong leadership and clear direction from management.
E10255,5.0,2.5,4.0,3.5,3.6,Salary is decent but bonuses could be better.
E10256,4.4,3.0,4.2,4.4,4.0,Great work environment with strong mentorship.
E10257,3.5,2.9,3.5,2.9,3.0,Could use more clarity on promotion criteria.
E10258,4.4,2.3,3.6,2.1,3.3,Salary is decent but bonuses could be better.
E10259,4.4,3.5,3.4,2.5,3.8,Management is supportive and career growth is clear.
E10260,5.0,3.2,3.7,3.4,4.1,Excellent team culture and flexible hours.
E10261,3.3,3.7,3.1,3.8,3.3,"Job is fine, but looking to grow further."
E10262,4.5,2.1,3.3,3.3,3.5,Management communication can improve significantly.
E10263,4.7,2.6,4.1,3.9,4.0,Strong leadership and clear direction from management.
E10264,4.1,3.9,3.6,3.7,4.1,Management is supportive and career growth is clear.
E10265,5.0,2.7,4.1,4.0,4.1,Excellent team culture and flexible hours.
E10266,4.4,3.4,3.4,3.1,3.8,Strong leadership and clear direction from management.
E10267,2.8,3.6,2.6,3.1,3.0,"Job is fine, but looking to grow further."
E10268,3.4,3.5,3.2,3.4,3.4,Management communication can improve significantly.
E10269,2.9,2.4,2.0,4.5,3.1,Could use more clarity on promotion criteria.
E10270,3.9,2.1,3.8,3.8,3.6,"Job is fine, but looking to grow further."
E10271,5.0,3.1,3.9,3.6,4.0,Great work environment with strong mentorship.
E10272,4.2,2.9,3.4,4.3,3.7,"Job is fine, but looking to grow further."
E10273,5.0,2.6,4.2,3.8,4.2,Management is supportive and career growth is clear.
E10274,3.4,3.7,2.6,2.7,3.0,Management communication can improve significantly.
E10275,4.2,3.2,4.5,2.9,3.8,"Very happy with my role, learning a lot every day."
E10276,4.0,3.3,3.9,3.3,3.9,Management is supportive and career growth is clear.
E10277,4.5,2.6,3.9,3.3,3.6,Salary is decent but bonuses could be better.
E10278,4.0,3.6,3.5,4.2,3.5,Management communication can improve significantly.
E10279,4.3,3.1,3.6,3.8,3.9,"Very happy with my role, learning a lot every day."
E10280,4.0,2.2,4.1,2.8,3.2,"Job is fine, but looking to grow further."
E10281,2.8,2.8,2.4,2.5,2.6,"Burnout is real, work-life balance is poor."
E10282,3.1,2.8,2.7,3.5,3.1,Some processes feel outdated but the team is good.
E10283,4.4,3.0,3.6,2.6,3.3,Workload is sometimes heavy but manageable.
E10284,4.5,3.4,3.0,5.0,4.2,"Very happy with my role, learning a lot every day."
E10285,4.1,3.1,3.6,3.3,3.5,Could use more clarity on promotion criteria.
E10286,4.1,2.6,3.7,4.4,3.7,"Job is fine, but looking to grow further."
E10287,4.6,2.9,3.2,3.6,3.8,Great work environment with strong mentorship.
E10288,4.6,3.5,3.5,2.1,3.7,Salary is decent but bonuses could be better.
E10289,4.9,1.8,4.1,3.8,3.8,Feel recognised for my contributions regularly.
E10290,3.6,3.1,3.1,4.0,3.4,"Job is fine, but looking to grow further."
E10291,4.4,3.5,3.1,4.4,3.9,Great work environment with strong mentorship.
E10292,5.0,2.5,4.0,4.1,4.0,Great work environment with strong mentorship.
E10293,4.2,3.2,3.7,4.5,3.8,Strong leadership and clear direction from management.
E10294,4.3,2.4,3.6,4.0,3.7,Management communication can improve significantly.
E10295,5.0,2.9,4.6,5.0,4.2,"Very happy with my role, learning a lot every day."
E10296,4.3,3.8,3.7,3.8,3.8,Compensation is competitive and I feel valued.
E10297,4.1,3.2,3.5,2.9,3.5,Could use more clarity on promotion criteria.
E10298,5.0,2.8,4.2,3.6,3.9,Feel recognised for my contributions regularly.
E10299,5.0,2.5,3.6,4.2,3.9,Great work environment with strong mentorship.
E10300,5.0,3.5,3.1,4.9,4.5,Management is supportive and career growth is clear.
E10301,5.0,2.8,4.3,4.2,4.3,Management is supportive and career growth is clear.
E10302,4.2,2.7,3.8,2.8,3.6,Management communication can improve significantly.
E10303,4.1,3.6,3.6,3.3,3.8,Great work environment with strong mentorship.
E10304,4.2,2.5,3.6,2.2,3.2,Some processes feel outdated but the team is good.
E10305,4.1,3.2,3.1,4.7,3.8,Compensation is competitive and I feel valued.
E10306,4.6,2.6,3.4,3.0,3.5,Reasonable work-life balance most of the time.
E10307,4.4,3.0,3.8,2.8,3.5,Management communication can improve significantly.
E10308,4.5,2.3,3.9,3.2,3.6,Work is okay but growth opportunities are limited.
E10309,4.6,2.4,3.5,4.0,3.8,"Very happy with my role, learning a lot every day."
E10310,4.3,2.8,3.3,3.1,3.5,Some processes feel outdated but the team is good.
E10311,3.2,3.6,3.3,3.3,3.2,Work is okay but growth opportunities are limited.
E10312,5.0,2.3,4.6,4.1,3.9,Strong leadership and clear direction from management.
E10313,4.9,2.8,4.3,4.1,4.1,Excellent team culture and flexible hours.
E10314,3.5,2.7,3.2,3.3,3.2,Workload is sometimes heavy but manageable.
E10315,5.0,2.6,4.5,4.2,4.2,Management is supportive and career growth is clear.
E10316,4.1,3.1,3.6,3.2,3.5,Some processes feel outdated but the team is good.
E10317,4.5,3.0,4.3,3.0,4.0,Feel recognised for my contributions regularly.
E10318,3.5,3.6,3.4,3.6,3.5,Management communication can improve significantly.
E10319,4.4,2.8,3.1,4.4,3.8,Excellent team culture and flexible hours.
E10320,3.8,2.3,2.8,3.9,3.4,Management communication can improve significantly.
E10321,5.0,3.4,3.9,4.2,4.3,Compensation is competitive and I feel valued.
E10322,4.1,2.9,3.6,4.6,3.9,Feel recognised for my contributions regularly.
E10323,4.1,2.9,3.4,3.1,3.3,Work is okay but growth opportunities are limited.
E10324,4.0,2.9,2.6,3.5,3.3,Management communication can improve significantly.
E10325,4.1,2.4,3.7,3.3,3.3,Some processes feel outdated but the team is good.
E10326,5.0,2.9,3.6,4.5,4.1,Feel recognised for my contributions regularly.
E10327,4.3,3.4,3.5,3.1,3.6,Workload is sometimes heavy but manageable.
E10328,3.4,2.5,3.7,2.8,3.2,"Job is fine, but looking to grow further."
E10329,4.5,2.7,3.2,3.0,3.4,Management communication can improve significantly.
E10330,2.8,2.4,3.6,4.0,3.2,Salary is decent but bonuses could be better.
E10331,4.5,2.0,3.8,3.5,3.9,Feel recognised for my contributions regularly.
E10332,4.7,3.5,3.4,3.2,4.0,Great work environment with strong mentorship.
E10333,4.6,1.6,3.7,3.1,3.2,Could use more clarity on promotion criteria.
E10334,5.0,1.7,3.9,3.2,3.6,Workload is sometimes heavy but manageable.
E10335,5.0,2.8,4.0,4.2,4.1,Excellent team culture and flexible hours.
E10336,5.0,2.6,4.2,4.4,4.0,Work-life balance is great and the team is collaborative.
E10337,5.0,2.7,4.4,4.4,4.1,Strong leadership and clear direction from management.
E10338,4.9,3.3,3.8,3.8,4.1,"Very happy with my role, learning a lot every day."
E10339,4.7,3.3,3.3,3.1,3.7,Workload is sometimes heavy but manageable.
E10340,5.0,2.8,3.8,5.0,4.3,Excellent team culture and flexible hours.
E10341,3.7,3.2,3.5,2.5,3.1,Work is okay but growth opportunities are limited.
E10342,4.5,3.7,4.6,4.0,4.4,Excellent team culture and flexible hours.
E10343,5.0,2.7,4.7,4.8,4.3,Feel recognised for my contributions regularly.
E10344,4.9,3.3,3.0,2.6,3.4,Some processes feel outdated but the team is good.
E10345,4.6,3.1,3.4,2.6,3.7,"Job is fine, but looking to grow further."
E10346,4.7,2.4,4.2,4.0,4.1,Management is supportive and career growth is clear.
E10347,5.0,3.4,3.4,4.7,4.3,"Very happy with my role, learning a lot every day."
E10348,5.0,3.1,3.8,3.4,4.0,Strong leadership and clear direction from management.
E10349,4.1,3.3,3.5,2.7,3.2,Reasonable work-life balance most of the time.
