Employee_ID,Age,Gender,Department,Role,Tenure_Years,Employment_Type,Education_Level,Marital_Status,Work_Location
E10049,30,Male,HR,HR Manager,3.2,Full-Time,Master,Single,Boston
E10050,26,Female,Engineering,Software Engineer,0.9,Full-Time,Bachelor,Married,Boston
E10051,31,Male,Customer Support,Support Specialist,1.9,Full-Time,Master,Single,Denver
E10052,27,Male,Product,Product Manager,2.0,Full-Time,Master,Married,New York
E10053,28,Female,Customer Support,Support Team Lead,2.1,Part-Time,Master,Single,Chicago
E10054,38,Female,Customer Support,Customer Success Manager,7.2,Full-Time,Bachelor,Single,Austin
E10055,25,Female,Finance,Senior Analyst,1.3,Contract,Bachelor,Single,Denver
E10056,37,Female,Customer Support,Support Specialist,4.2,Full-Time,Bachelor,Married,New York
E10057,24,Male,Engineering,Software Engineer,0.5,Full-Time,Bachelor,Married,Atlanta
E10058,31,Female,Engineering,Senior Engineer,3.3,Full-Time,Bachelor,Single,Chicago
E10059,40,Female,Engineering,DevOps Engineer,9.9,Full-Time,Master,Married,Atlanta
E10060,34,Female,Sales,Sales Manager,5.2,Full-Time,High School,Single,San Francisco
E10061,34,Male,Marketing,Brand Manager,6.9,Contract,Bachelor,Married,Boston
E10062,30,Male,Sales,Sales Executive,2.1,Full-Time,Associate,Married,San Francisco
E10063,34,Female,Product,Product Manager,4.0,Full-Time,Associate,Married,Remote
E10064,42,Female,Sales,Business Development Rep,7.8,Full-Time,Bachelor,Married,Boston
E10065,37,Female,Sales,Account Manager,5.2,Full-Time,Master,Single,Remote
E10066,24,Female,HR,HR Generalist,0.7,Full-Time,PhD,Single,Denver
E10067,43,Male,Engineering,Data Scientist,9.8,Full-Time,Bachelor,Single,Denver
E10068,29,Female,Product,Product Manager,2.2,Full-Time,Bachelor,Single,Boston
E10069,40,Female,Engineering,DevOps Engineer,7.3,Part-Time,Master,Single,Atlanta
E10070,34,Female,Customer Support,Support Specialist,2.6,Part-Time,Associate,Married,Boston
E10071,34,Female,Product,Senior PM,5.5,Contract,Associate,Married,San Francisco
E10072,30,Male,Engineering,Senior Engineer,3.4,Part-Time,Bachelor,Single,Seattle
E10073,37,Female,Engineering,Tech Lead,5.0,Full-Time,Bachelor,Single,Seattle
E10074,28,Male,Product,Senior PM,3.5,Part-Time,Master,Single,Austin
E10075,31,Non-Binary,Operations,Operations Manager,2.8,Full-Time,Master,Single,Denver
E10076,38,Female,Operations,Process Engineer,6.3,Full-Time,Bachelor,Married,San Francisco
E10077,24,Female,Product,Product Manager,0.5,Full-Time,Bachelor,Married,Remote
E10078,39,Non-Binary,Engineering,Tech Lead,6.0,Contract,Bachelor,Single,Boston
E10079,31,Male,Sales,Sales Manager,2.9,Full-Time,Bachelor,Married,Chicago
E10080,38,Male,Engineering,DevOps Engineer,10.1,Full-Time,Master,Married,Remote
E10081,36,Female,Product,Senior PM,6.3,Contract,Bachelor,Married,Atlanta
E10082,44,Male,Finance,Accountant,9.7,Full-Time,Bachelor,Single,Austin
E10083,28,Male,Sales,Sales Executive,2.3,Full-Time,Bachelor,Single,Atlanta
E10084,46,Female,Engineering,Data Scientist,11.0,Full-Time,Bachelor,Married,Boston
E10085,41,Female,Sales,Business Development Rep,7.8,Full-Time,Bachelor,Divorced,Seattle
E10086,35,Male,Sales,Sales Manager,5.0,Full-Time,Bachelor,Married,Atlanta
E10087,24,Male,Operations,Operations Analyst,0.5,Full-Time,Master,Single,Boston
E10088,29,Male,Finance,Finance Manager,3.1,Contract,Bachelor,Single,Atlanta
E10089,28,Female,Product,Product Manager,1.5,Full-Time,Master,Married,Boston
E10090,36,Male,HR,L&D Specialist,7.4,Full-Time,Master,Married,Austin
E10091,42,Female,Engineering,DevOps Engineer,11.7,Full-Time,Master,Single,San Francisco
E10092,34,Female,Operations,Operations Manager,5.3,Contract,Bachelor,Married,Chicago
E10093,31,Male,Operations,Operations Manager,3.8,Full-Time,Master,Married,Remote
E10094,23,Male,Finance,Financial Analyst,0.5,Full-Time,Master,Married,Boston
E10095,34,Female,Product,Associate PM,3.3,Full-Time,Associate,Married,Boston
E10096,34,Male,HR,L&D Specialist,6.5,Full-Time,Master,Married,Denver
E10097,28,Male,HR,HR Manager,1.8,Full-Time,Bachelor,Single,Seattle
E10098,28,Female,Marketing,Content Strategist,1.6,Full-Time,Master,Married,Denver
E10099,34,Male,Engineering,Tech Lead,5.5,Full-Time,Bachelor,Married,New York
E10100,33,Male,Engineering,Software Engineer,2.9,Full-Time,Master,Married,Chicago
E10101,42,Female,Engineering,Data Scientist,14.0,Part-Time,Associate,Single,Seattle
E10102,26,Male,Finance,Financial Analyst,1.1,Full-Time,Bachelor,Married,Remote
E10103,25,Male,Sales,Account Manager,1.5,Full-Time,Associate,Divorced,Seattle
E10104,41,Male,HR,L&D Specialist,11.7,Full-Time,Bachelor,Married,Austin
E10105,32,Female,Customer Support,Support Team Lead,3.2,Full-Time,PhD,Single,Seattle
E10106,28,Female,Sales,Sales Executive,1.8,Full-Time,Associate,Married,New York
E10107,30,Male,Marketing,Content Strategist,3.1,Full-Time,Bachelor,Single,Seattle
E10108,42,Female,Operations,Process Engineer,11.9,Full-Time,Master,Single,Denver
E10109,34,Male,Sales,Sales Manager,5.4,Full-Time,Associate,Married,Chicago
E10110,42,Female,Engineering,Data Scientist,11.9,Full-Time,Associate,Single,Boston
E10111,30,Male,Sales,Sales Executive,2.2,Part-Time,Associate,Single,Denver
E10112,47,Male,Engineering,DevOps Engineer,8.9,Full-Time,Master,Married,Boston
E10113,32,Female,Customer Support,Support Specialist,3.9,Full-Time,Master,Married,Boston
E10114,38,Male,Product,UX Designer,7.4,Full-Time,Master,Divorced,Boston
E10115,32,Male,Finance,Senior Analyst,2.7,Full-Time,PhD,Married,Remote
E10116,33,Female,Product,Senior PM,3.9,Full-Time,Bachelor,Married,Boston
E10117,31,Female,Product,Senior PM,5.0,Full-Time,PhD,Married,Atlanta
E10118,33,Female,Engineering,Tech Lead,5.2,Full-Time,Bachelor,Single,San Francisco
E10119,25,Female,Customer Support,Support Specialist,1.1,Contract,Bachelor,Married,Atlanta
E10120,31,Male,HR,HR Generalist,3.3,Full-Time,Bachelor,Married,Austin
E10121,27,Male,Product,Associate PM,2.3,Full-Time,High School,Married,San Francisco
E10122,37,Male,Customer Support,Senior Support Agent,5.8,Full-Time,Master,Single,Denver
E10123,35,Male,Sales,Account Manager,3.8,Full-Time,High School,Single,Seattle
E10124,39,Male,Engineering,DevOps Engineer,6.8,Full-Time,Master,Married,Chicago
E10125,32,Female,Sales,Account Manager,3.9,Full-Time,Bachelor,Single,Chicago
E10126,33,Male,Marketing,Brand Manager,4.5,Full-Time,High School,Married,Denver
E10127,36,Male,Product,Senior PM,6.5,Full-Time,Bachelor,Married,Seattle
E10128,39,Male,Product,Senior PM,7.6,Full-Time,Bachelor,Married,Remote
E10129,36,Male,Engineering,DevOps Engineer,7.9,Full-Time,PhD,Single,San Francisco
E10130,25,Female,HR,HR Manager,0.8,Full-Time,Master,Married,Boston
E10131,38,Male,Marketing,Brand Manager,5.0,Contract,Bachelor,Divorced,New York
E10132,36,Male,Sales,Sales Manager,7.2,Full-Time,Associate,Single,Atlanta
E10133,31,Non-Binary,Engineering,Tech Lead,3.2,Full-Time,Bachelor,Single,New York
E10134,32,Female,Sales,Sales Manager,5.0,Full-Time,High School,Married,Chicago
E10135,25,Male,Customer Support,Support Specialist,0.9,Full-Time,Master,Married,Boston
E10136,29,Female,Sales,Account Manager,3.5,Full-Time,Bachelor,Married,Atlanta
E10137,30,Female,HR,HR Manager,3.7,Full-Time,Bachelor,Married,New York
E10138,37,Male,Operations,Process Engineer,7.4,Full-Time,Master,Married,Austin
E10139,25,Male,Sales,Sales Executive,1.0,Full-Time,Bachelor,Married,Chicago
E10140,35,Female,Customer Support,Customer Success Manager,5.1,Full-Time,Master,Single,New York
E10141,34,Male,Customer Support,Support Team Lead,5.0,Full-Time,Master,Divorced,Seattle
E10142,39,Male,Sales,Business Development Rep,10.3,Full-Time,Bachelor,Single,Atlanta
E10143,34,Male,HR,Recruiter,5.8,Full-Time,Master,Married,Remote
E10144,40,Male,Sales,Sales Manager,8.0,Full-Time,Master,Single,Chicago
E10145,34,Female,Sales,Account Manager,3.5,Full-Time,Bachelor,Divorced,Seattle
E10146,22,Male,Engineering,Software Engineer,0.5,Part-Time,Bachelor,Divorced,Seattle
E10147,34,Male,Finance,Senior Analyst,3.8,Full-Time,Bachelor,Single,Atlanta
E10148,41,Female,HR,L&D Specialist,12.1,Full-Time,PhD,Single,Boston
E10149,33,Female,Engineering,Tech Lead,5.3,Full-Time,Bachelor,Married,Chicago
E10150,26,Female,Sales,Account Manager,1.4,Full-Time,Associate,Single,Remote
E10151,28,Male,Customer Support,Support Specialist,1.2,Full-Time,Associate,Married,New York
E10152,38,Male,Sales,Business Development Rep,6.9,Full-Time,Bachelor,Divorced,San Francisco
E10153,34,Female,Engineering,DevOps Engineer,7.9,Full-Time,Associate,Married,Remote
E10154,33,Male,HR,L&D Specialist,7.0,Full-Time,Bachelor,Married,San Francisco
E10155,38,Male,Customer Support,Customer Success Manager,8.8,Full-Time,Bachelor,Single,San Francisco
E10156,38,Female,Sales,Business Development Rep,8.2,Full-Time,Master,Divorced,Remote
E10157,26,Male,Operations,Operations Analyst,1.3,Contract,Master,Single,Austin
E10158,35,Male,Operations,Supply Chain Analyst,5.7,Part-Time,Bachelor,Single,Denver
E10159,27,Male,Sales,Account Manager,2.1,Full-Time,Master,Married,Remote
E10160,37,Male,Operations,Process Engineer,6.9,Full-Time,Bachelor,Married,Boston
E10161,30,Male,Sales,Sales Executive,2.9,Full-Time,Master,Married,Austin
E10162,34,Male,Finance,Finance Manager,6.1,Full-Time,Bachelor,Married,Atlanta
E10163,25,Male,Finance,Senior Analyst,1.0,Full-Time,Associate,Married,Seattle
E10164,33,Male,HR,Recruiter,6.0,Full-Time,Bachelor,Single,Atlanta
E10165,24,Male,Engineering,Software Engineer,0.6,Full-Time,Bachelor,Married,Atlanta
E10166,29,Female,Product,Product Manager,1.6,Full-Time,Master,Single,Denver
E10167,29,Female,Sales,Sales Executive,1.5,Full-Time,Bachelor,Single,Denver
E10168,32,Male,Engineering,DevOps Engineer,5.9,Contract,Associate,Married,Remote
E10169,31,Non-Binary,Engineering,Software Engineer,3.4,Full-Time,Master,Divorced,Remote
E10170,27,Female,Finance,Senior Analyst,2.3,Contract,Master,Married,Boston
E10171,45,Female,Operations,Process Engineer,11.6,Full-Time,Bachelor,Single,Denver
E10172,31,Male,Engineering,Senior Engineer,2.6,Full-Time,Associate,Married,Atlanta
E10173,34,Female,HR,L&D Specialist,4.6,Full-Time,Master,Divorced,New York
E10174,23,Female,Sales,Sales Executive,0.5,Full-Time,Associate,Single,Atlanta
E10175,36,Male,Finance,Finance Manager,7.8,Full-Time,Master,Single,San Francisco
E10176,26,Female,Engineering,Software Engineer,1.6,Full-Time,Master,Single,Denver
E10177,31,Female,Operations,Operations Manager,2.8,Contract,Bachelor,Married,Boston
E10178,38,Male,Marketing,Content Strategist,7.0,Full-Time,Master,Single,Seattle
E10179,36,Male,Customer Support,Customer Success Manager,7.7,Full-Time,Associate,Married,Remote
E10180,39,Male,Engineering,DevOps Engineer,6.1,Full-Time,Master,Married,Austin
E10181,41,Male,Sales,Sales Manager,8.8,Full-Time,Bachelor,Married,Denver
E10182,29,Male,Engineering,Software Engineer,2.5,Full-Time,Master,Divorced,Atlanta
E10183,29,Female,Customer Support,Support Team Lead,2.7,Contract,PhD,Married,New York
E10184,37,Female,Product,Senior PM,8.5,Part-Time,Bachelor,Single,New York
E10185,27,Female,Sales,Account Manager,1.5,Full-Time,Master,Married,Chicago
E10186,34,Female,Operations,Operations Analyst,2.6,Full-Time,Bachelor,Divorced,Atlanta
E10187,28,Male,Product,Associate PM,1.7,Full-Time,Master,Single,Atlanta
E10188,40,Male,Finance,Financial Analyst,6.6,Full-Time,Master,Single,San Francisco
E10189,34,Female,HR,HR Generalist,3.4,Part-Time,PhD,Married,New York
E10190,32,Male,Sales,Sales Manager,5.4,Part-Time,PhD,Single,Austin
E10191,35,Female,Engineering,Tech Lead,6.0,Full-Time,Bachelor,Married,San Francisco
E10192,31,Male,Customer Support,Support Specialist,2.7,Full-Time,Bachelor,Married,Seattle
E10193,35,Male,Customer Support,Senior Support Agent,5.9,Full-Time,Master,Married,Remote
E10194,33,Male,Finance,Senior Analyst,3.9,Full-Time,Master,Married,Seattle
E10195,40,Male,Sales,Sales Manager,9.7,Full-Time,Bachelor,Single,New York
E10196,28,Female,Sales,Sales Executive,1.3,Contract,Associate,Married,Seattle
E10197,30,Male,Operations,Operations Manager,3.3,Part-Time,Bachelor,Single,Boston
E10198,37,Male,Customer Support,Customer Success Manager,8.9,Full-Time,Master,Married,Denver
E10199,35,Female,Product,Associate PM,6.2,Full-Time,Master,Married,New York
E10200,36,Male,Product,Senior PM,5.1,Full-Time,Bachelor,Married,Chicago
E10201,40,Male,Finance,Accountant,10.1,Full-Time,Associate,Single,Seattle
E10202,45,Female,Engineering,Data Scientist,11.5,Full-Time,Master,Married,New York
E10203,30,Male,Engineering,DevOps Engineer,3.9,Full-Time,Master,Single,Remote
E10204,36,Female,Customer Support,Support Team Lead,4.6,Full-Time,Bachelor,Single,New York
E10205,32,Female,Finance,Senior Analyst,2.8,Full-Time,Master,Single,Chicago
E10206,35,Male,Engineering,Software Engineer,4.8,Full-Time,Bachelor,Married,New York
E10207,29,Male,Engineering,Tech Lead,3.7,Full-Time,Master,Married,Denver
E10208,41,Male,Operations,Supply Chain Analyst,7.9,Full-Time,Master,Married,Remote
E10209,42,Male,Engineering,Data Scientist,14.6,Part-Time,PhD,Married,Denver
E10210,33,Female,Engineering,Senior Engineer,3.0,Full-Time,Master,Married,Denver
E10211,38,Male,HR,HR Manager,6.5,Full-Time,Bachelor,Married,Denver
E10212,41,Male,Operations,Process Engineer,12.4,Full-Time,Master,Divorced,Seattle
E10213,33,Male,Operations,Operations Manager,5.1,Full-Time,Master,Married,Remote
E10214,29,Female,Sales,Sales Executive,1.9,Full-Time,Bachelor,Married,Boston
E10215,37,Female,Operations,Process Engineer,9.2,Full-Time,High School,Married,Boston
E10216,38,Female,Sales,Business Development Rep,8.0,Full-Time,Bachelor,Single,Chicago
E10217,32,Female,Sales,Sales Manager,5.5,Full-Time,Master,Married,Boston
E10218,31,Female,Operations,Operations Manager,3.4,Full-Time,Master,Divorced,Boston
E10219,29,Male,Finance,Accountant,4.3,Full-Time,Bachelor,Married,Seattle
E10220,40,Female,Product,UX Designer,6.8,Full-Time,High School,Married,Austin
E10221,28,Male,Operations,Operations Analyst,1.9,Full-Time,Bachelor,Married,Seattle
E10222,34,Non-Binary,Finance,Finance Manager,5.6,Full-Time,Bachelor,Divorced,Remote
E10223,39,Male,Engineering,DevOps Engineer,9.6,Full-Time,Bachelor,Divorced,Austin
E10224,22,Female,Sales,Sales Executive,0.5,Full-Time,PhD,Single,Denver
E10225,46,Female,Sales,Business Development Rep,13.4,Full-Time,Master,Married,Austin
E10226,38,Female,Sales,Business Development Rep,10.0,Full-Time,Bachelor,Married,Denver
E10227,38,Male,Customer Support,Customer Success Manager,6.8,Full-Time,Bachelor,Single,Denver
E10228,24,Male,Marketing,Marketing Analyst,0.7,Part-Time,Bachelor,Married,Remote
E10229,32,Female,Customer Support,Senior Support Agent,2.8,Contract,Associate,Single,Remote
E10230,44,Male,Finance,Accountant,11.4,Full-Time,PhD,Married,New York
E10231,43,Female,Product,UX Designer,13.2,Full-Time,Bachelor,Single,San Francisco
E10232,35,Female,HR,HR Manager,3.6,Full-Time,Bachelor,Married,Chicago
E10233,41,Female,Finance,Accountant,12.3,Part-Time,Master,Divorced,Chicago
E10234,34,Male,HR,Recruiter,6.5,Part-Time,Bachelor,Single,Chicago
E10235,26,Male,Engineering,Senior Engineer,1.5,Full-Time,Bachelor,Married,Denver
E10236,27,Female,Operations,Operations Analyst,1.3,Full-Time,Bachelor,Married,San Francisco
E10237,31,Male,Sales,Account Manager,3.2,Full-Time,Bachelor,Divorced,New York
E10238,46,Female,Engineering,Data Scientist,15.7,Full-Time,Bachelor,Married,New York
E10239,40,Female,Finance,Accountant,7.6,Full-Time,Master,Married,Boston
E10240,48,Male,Engineering,Data Scientist,12.6,Full-Time,Master,Divorced,Remote
E10241,33,Female,Customer Support,Support Specialist,2.4,Full-Time,Master,Single,San Francisco
E10242,37,Female,Customer Support,Customer Success Manager,6.4,Contract,Master,Single,San Francisco
E10243,24,Female,Customer Support,Senior Support Agent,0.9,Contract,Master,Married,Atlanta
E10244,44,Male,Marketing,Digital Marketer,9.1,Full-Time,Bachelor,Single,Remote
E10245,44,Male,Engineering,DevOps Engineer,13.9,Part-Time,Master,Divorced,Austin
E10246,26,Male,Customer Support,Senior Support Agent,1.5,Contract,Bachelor,Married,Remote
E10247,41,Female,Marketing,Brand Manager,8.6,Full-Time,Associate,Married,Austin
E10248,40,Male,Customer Support,Customer Success Manager,6.5,Full-Time,Master,Single,Seattle
E10249,29,Female,Customer Support,Support Specialist,2.7,Contract,Master,Single,Atlanta
E10250,45,Female,Product,UX Designer,8.2,Full-Time,Bachelor,Single,Austin
E10251,44,Female,Sales,Business Development Rep,10.8,Part-Time,Bachelor,Married,Remote
E10252,31,Non-Binary,Marketing,Marketing Analyst,2.5,Full-Time,Associate,Married,San Francisco
E10253,33,Female,Product,Associate PM,3.9,Full-Time,Master,Married,San Francisco
E10254,37,Male,Sales,Sales Manager,7.4,Full-Time,PhD,Married,Denver
E10255,40,Male,Engineering,Data Scientist,12.0,Full-Time,Master,Single,Atlanta
E10256,31,Male,Finance,Senior Analyst,2.6,Part-Time,Master,Single,Chicago
E10257,35,Male,Customer Support,Customer Success Manager,6.8,Full-Time,Bachelor,Divorced,Remote
E10258,37,Female,Operations,Process Engineer,9.4,Full-Time,Associate,Single,New York
E10259,37,Female,Finance,Accountant,7.6,Part-Time,Master,Single,Austin
E10260,36,Male,Engineering,DevOps Engineer,5.7,Contract,Bachelor,Married,Austin
E10261,29,Male,Finance,Financial Analyst,1.8,Part-Time,Bachelor,Married,Atlanta
E10262,37,Female,Customer Support,Customer Success Manager,6.4,Full-Time,Master,Single,Austin
E10263,41,Female,Engineering,DevOps Engineer,7.5,Full-Time,Master,Divorced,Denver
E10264,25,Male,HR,HR Manager,1.0,Full-Time,Bachelor,Married,Remote
E10265,38,Male,Product,UX Designer,8.6,Full-Time,PhD,Single,Seattle
E10266,36,Female,Operations,Supply Chain Analyst,4.5,Full-Time,Bachelor,Married,Atlanta
E10267,27,Male,Operations,Operations Analyst,1.6,Full-Time,Associate,Single,Austin
E10268,27,Female,Operations,Operations Analyst,2.0,Full-Time,Bachelor,Married,Boston
E10269,22,Female,Sales,Sales Executive,0.5,Full-Time,Master,Married,Seattle
E10270,36,Male,Sales,Sales Manager,7.7,Full-Time,Bachelor,Divorced,Chicago
E10271,41,Male,Product,UX Designer,8.4,Full-Time,Master,Married,Atlanta
E10272,30,Female,Product,Product Manager,1.6,Full-Time,Bachelor,Single,Boston
E10273,39,Male,Product,Senior PM,9.4,Full-Time,Bachelor,Married,Austin
E10274,32,Male,Customer Support,Senior Support Agent,2.6,Part-Time,Bachelor,Divorced,New York
E10275,40,Male,HR,L&D Specialist,7.6,Full-Time,Bachelor,Married,New York
E10276,36,Male,HR,Recruiter,6.5,Full-Time,Bachelor,Married,Chicago
E10277,41,Female,Product,UX Designer,7.8,Full-Time,Bachelor,Single,Atlanta
E10278,25,Female,Finance,Senior Analyst,1.4,Full-Time,Master,Married,Atlanta
E10279,31,Female,Operations,Supply Chain Analyst,4.8,Full-Time,Master,Married,San Francisco
E10280,45,Male,Product,UX Designer,12.3,Full-Time,Bachelor,Single,New York
E10281,25,Male,Customer Support,Support Team Lead,1.6,Contract,Bachelor,Single,Seattle
E10282,27,Male,Sales,Sales Executive,1.2,Contract,Bachelor,Married,New York
E10283,43,Female,Marketing,Digital Marketer,12.1,Contract,Bachelor,Single,Atlanta
E10284,28,Male,Engineering,Software Engineer,1.6,Full-Time,Master,Married,Denver
E10285,30,Male,Finance,Senior Analyst,3.3,Part-Time,Bachelor,Single,San Francisco
E10286,29,Female,Engineering,Software Engineer,1.6,Full-Time,Master,Single,Austin
E10287,30,Male,Marketing,Content Strategist,3.4,Full-Time,PhD,Married,Boston
E10288,39,Male,HR,L&D Specialist,11.7,Contract,Associate,Married,Remote
E10289,32,Male,Sales,Sales Manager,3.1,Full-Time,Master,Divorced,Seattle
E10290,32,Female,Finance,Financial Analyst,2.2,Full-Time,High School,Married,New York
E10291,34,Female,Engineering,Software Engineer,2.7,Full-Time,High School,Single,Remote
E10292,41,Female,Engineering,Data Scientist,10.9,Full-Time,PhD,Single,Remote
E10293,26,Male,Product,Associate PM,1.3,Full-Time,Master,Married,Seattle
E10294,29,Male,Sales,Account Manager,3.2,Full-Time,Bachelor,Single,San Francisco
E10295,34,Female,Engineering,Tech Lead,5.3,Full-Time,Master,Divorced,San Francisco
E10296,30,Female,HR,HR Generalist,2.4,Part-Time,Master,Single,Denver
E10297,31,Male,Operations,Supply Chain Analyst,4.6,Contract,Master,Single,Denver
E10298,28,Male,Engineering,Senior Engineer,2.0,Full-Time,High School,Single,Austin
E10299,37,Female,Finance,Finance Manager,6.1,Full-Time,Master,Married,Austin
E10300,35,Female,Engineering,Senior Engineer,5.7,Contract,Master,Married,Remote
E10301,33,Male,Engineering,Tech Lead,5.9,Full-Time,Bachelor,Single,Seattle
E10302,33,Female,HR,L&D Specialist,3.9,Full-Time,Bachelor,Married,New York
E10303,45,Non-Binary,HR,HR Manager,5.7,Contract,Associate,Single,Seattle
E10304,42,Female,Finance,Accountant,8.5,Full-Time,Bachelor,Married,Austin
E10305,30,Male,Operations,Operations Manager,2.7,Full-Time,Bachelor,Single,Chicago
E10306,38,Female,Customer Support,Support Team Lead,6.2,Full-Time,Master,Married,New York
E10307,38,Male,HR,L&D Specialist,9.3,Contract,Master,Married,Denver
E10308,38,Male,Sales,Sales Manager,8.8,Full-Time,Bachelor,Single,Austin
E10309,32,Female,Product,Associate PM,3.0,Full-Time,Master,Married,Chicago
E10310,39,Male,Sales,Business Development Rep,9.3,Contract,Master,Married,Atlanta
E10311,28,Female,Marketing,Marketing Analyst,1.6,Full-Time,Bachelor,Married,Remote
E10312,33,Male,Engineering,DevOps Engineer,5.8,Full-Time,Bachelor,Married,Boston
E10313,43,Male,Engineering,Tech Lead,9.7,Full-Time,Bachelor,Married,Boston
E10314,31,Female,Customer Support,Support Team Lead,5.1,Full-Time,Bachelor,Married,San Francisco
E10315,30,Male,Product,Senior PM,2.9,Full-Time,High School,Divorced,Denver
E10316,38,Male,Operations,Process Engineer,6.1,Full-Time,Associate,Divorced,New York
E10317,35,Female,Marketing,Digital Marketer,7.4,Full-Time,Master,Married,Austin
E10318,28,Non-Binary,Engineering,Software Engineer,1.7,Full-Time,High School,Divorced,Austin
E10319,31,Female,Engineering,Software Engineer,2.1,Full-Time,Bachelor,Divorced,Denver
E10320,32,Male,Sales,Sales Executive,2.2,Full-Time,PhD,Single,Chicago
E10321,35,Female,HR,HR Manager,5.1,Full-Time,Master,Divorced,Denver
E10322,27,Non-Binary,Operations,Operations Analyst,1.3,Full-Time,Master,Single,San Francisco
E10323,39,Female,Operations,Process Engineer,11.9,Part-Time,Bachelor,Single,New York
E10324,30,Male,Sales,Sales Executive,2.2,Full-Time,Master,Divorced,Remote
E10325,31,Female,Customer Support,Customer Success Manager,3.8,Full-Time,Bachelor,Single,San Francisco
